,locations,parameters,as.numeric.median.out..,data2$new_result_units[1]
352,PIEHIRES_OUT,Bis(2-ethylhexyl) phthalate - Solid/Sediment - Total,NA,ug/Kg
353,PIEHIRES_OUT,Total Phthalate - Solid/Sediment - Total,NA,ug/Kg
354,PIEHIRES_OUT,HPAH - Solid/Sediment - Total,NA,ug/Kg
355,PIEHIRES_OUT,Nitrite-Nitrate - Water - Dissolved,441,ug/L
356,PIEHIRES_OUT,Total Suspended Solids - Water - Total,4400,ug/L
357,PIEHIRES_OUT,Pyrene - Solid/Sediment - Total,NA,ug/Kg
358,PIEHIRES_OUT,Chrysene - Solid/Sediment - Total,NA,ug/Kg
359,PIEHIRES_OUT,Zinc - Water - Total,5.2,ug/L
360,PIEHIRES_OUT,Copper - Water - Dissolved,1.7,ug/L
361,PIEHIRES_OUT,Phenanthrene - Solid/Sediment - Total,NA,ug/Kg
362,PIEHIRES_OUT,Copper - Water - Total,1.3,ug/L
363,PIEHIRES_OUT,Total Phosphorus - Water - Total,50,ug/L
364,PIEHIRES_OUT,CPAH - Solid/Sediment - Total,NA,ug/Kg
365,PIEHIRES_OUT,Zinc - Water - Dissolved,1.6,ug/L
366,PIEHIRES_OUT,Fluoranthene - Solid/Sediment - Total,NA,ug/Kg
367,PIEHIRES_OUT,LPAH - Solid/Sediment - Total,NA,ug/Kg
368,PIEHIRES_OUT,Lead - Water - Total,0.36,ug/L
369,PIEHIRES_OUT,Total Kjeldahl Nitrogen - Water - Total,NA,ug/L
370,PIEHIRES_OUT,Cadmium - Water - Total,0.06,ug/L
371,PIEHIRES_OUT,Total TPHDx - Water - Total,NA,ug/L
372,PIEHIRES_OUT,Biochemical Oxygen Demand - Water - Total,NA,ug/L
373,PIEHIRES_OUT,"Indeno(1,2,3-cd)pyrene - Solid/Sediment - Total",NA,ug/Kg
374,PIEHIRES_OUT,Total PAH - Water - Total,NA,ug/L
375,PIEHIRES_OUT,Total Benzofluoranthenes - Solid/Sediment - Total,NA,ug/Kg
376,PIEHIRES_OUT,Benzo(b)fluoranthene - Solid/Sediment - Total,NA,ug/Kg
377,PIEHIRES_OUT,Bis(2-ethylhexyl) phthalate - Water - Total,2.21,ug/L
378,PIEHIRES_OUT,p-Cresol - Solid/Sediment - Total,NA,ug/Kg
379,PIEHIRES_OUT,Diesel Range Organics - Water - Total,NA,ug/L
380,PIEHIRES_OUT,Benzo(a)pyrene - Solid/Sediment - Total,NA,ug/Kg
381,PIEHIRES_OUT,Lead - Water - Dissolved,0.07,ug/L
382,PIEHIRES_OUT,Mercury - Solid/Sediment - Total,NA,ug/Kg
383,PIEHIRES_OUT,Benzo(k)fluoranthene - Solid/Sediment - Total,NA,ug/Kg
384,PIEHIRES_OUT,HPAH - Water - Total,NA,ug/L
385,PIEHIRES_OUT,Anthracene - Solid/Sediment - Total,NA,ug/Kg
386,PIEHIRES_OUT,Benz(a)anthracene - Solid/Sediment - Total,NA,ug/Kg
387,PIEHIRES_OUT,Heavy Fuel Oil - Water - Total,NA,ug/L
388,PIEHIRES_OUT,"Benzo(g,h,i)perylene - Solid/Sediment - Total",NA,ug/Kg
389,PIEHIRES_OUT,Pyrene - Water - Total,NA,ug/L
390,PIEHIRES_OUT,Butyl benzyl phthalate - Solid/Sediment - Total,NA,ug/Kg
391,PIEHIRES_OUT,Cadmium - Water - Dissolved,0.03,ug/L
392,PIEHIRES_OUT,"Dibenzo(a,h)anthracene - Solid/Sediment - Total",NA,ug/Kg
393,PIEHIRES_OUT,LPAH - Water - Total,NA,ug/L
394,PIELORES_OUT,Lead - Solid/Sediment - Total,9200,ug/Kg
395,PIELORES_OUT,Copper - Solid/Sediment - Total,7200,ug/Kg
396,PIELORES_OUT,Zinc - Solid/Sediment - Total,44200,ug/Kg
397,PIELORES_OUT,Cadmium - Solid/Sediment - Total,256,ug/Kg
398,PIELORES_OUT,Total Phthalate - Water - Total,1.69,ug/L
399,PIELORES_OUT,Total PAH - Solid/Sediment - Total,7.39,ug/Kg
400,PIELORES_OUT,Ortho-phosphate - Water - Dissolved,26,ug/L
401,PIELORES_OUT,Bis(2-ethylhexyl) phthalate - Solid/Sediment - Total,21.6,ug/Kg
402,PIELORES_OUT,Total Phthalate - Solid/Sediment - Total,21.6,ug/Kg
403,PIELORES_OUT,HPAH - Solid/Sediment - Total,3.46,ug/Kg
404,PIELORES_OUT,Nitrite-Nitrate - Water - Dissolved,270,ug/L
405,PIELORES_OUT,Total Suspended Solids - Water - Total,16000,ug/L
406,PIELORES_OUT,Pyrene - Solid/Sediment - Total,1.37,ug/Kg
407,PIELORES_OUT,Chrysene - Solid/Sediment - Total,NA,ug/Kg
408,PIELORES_OUT,Zinc - Water - Total,5.3,ug/L
409,PIELORES_OUT,Copper - Water - Dissolved,1.2,ug/L
410,PIELORES_OUT,Phenanthrene - Solid/Sediment - Total,4.32,ug/Kg
411,PIELORES_OUT,Copper - Water - Total,1.3,ug/L
412,PIELORES_OUT,Total Phosphorus - Water - Total,50,ug/L
413,PIELORES_OUT,CPAH - Solid/Sediment - Total,NA,ug/Kg
414,PIELORES_OUT,Zinc - Water - Dissolved,0.8,ug/L
415,PIELORES_OUT,Fluoranthene - Solid/Sediment - Total,1.02,ug/Kg
416,PIELORES_OUT,LPAH - Solid/Sediment - Total,6.32,ug/Kg
417,PIELORES_OUT,Lead - Water - Total,0.72,ug/L
418,PIELORES_OUT,Total Kjeldahl Nitrogen - Water - Total,700,ug/L
419,PIELORES_OUT,Cadmium - Water - Total,0.08,ug/L
420,PIELORES_OUT,Total TPHDx - Water - Total,NA,ug/L
421,PIELORES_OUT,Biochemical Oxygen Demand - Water - Total,NA,ug/L
422,PIELORES_OUT,"Indeno(1,2,3-cd)pyrene - Solid/Sediment - Total",NA,ug/Kg
423,PIELORES_OUT,Total PAH - Water - Total,NA,ug/L
424,PIELORES_OUT,Total Benzofluoranthenes - Solid/Sediment - Total,NA,ug/Kg
425,PIELORES_OUT,Benzo(b)fluoranthene - Solid/Sediment - Total,NA,ug/Kg
426,PIELORES_OUT,Bis(2-ethylhexyl) phthalate - Water - Total,1.69,ug/L
427,PIELORES_OUT,p-Cresol - Solid/Sediment - Total,7.35,ug/Kg
428,PIELORES_OUT,Diesel Range Organics - Water - Total,NA,ug/L
429,PIELORES_OUT,Benzo(a)pyrene - Solid/Sediment - Total,NA,ug/Kg
430,PIELORES_OUT,Lead - Water - Dissolved,0.14,ug/L
431,PIELORES_OUT,Mercury - Solid/Sediment - Total,NA,ug/Kg
432,PIELORES_OUT,Benzo(k)fluoranthene - Solid/Sediment - Total,NA,ug/Kg
433,PIELORES_OUT,HPAH - Water - Total,NA,ug/L
434,PIELORES_OUT,Anthracene - Solid/Sediment - Total,NA,ug/Kg
435,PIELORES_OUT,Benz(a)anthracene - Solid/Sediment - Total,NA,ug/Kg
436,PIELORES_OUT,Heavy Fuel Oil - Water - Total,NA,ug/L
437,PIELORES_OUT,"Benzo(g,h,i)perylene - Solid/Sediment - Total",NA,ug/Kg
438,PIELORES_OUT,Pyrene - Water - Total,NA,ug/L
439,PIELORES_OUT,Butyl benzyl phthalate - Solid/Sediment - Total,NA,ug/Kg
440,PIELORES_OUT,Cadmium - Water - Dissolved,0.04,ug/L
441,PIELORES_OUT,"Dibenzo(a,h)anthracene - Solid/Sediment - Total",NA,ug/Kg
442,PIELORES_OUT,LPAH - Water - Total,NA,ug/L
443,SEAC1S8D_OUT,Lead - Solid/Sediment - Total,149000,ug/Kg
444,SEAC1S8D_OUT,Copper - Solid/Sediment - Total,207000,ug/Kg
445,SEAC1S8D_OUT,Zinc - Solid/Sediment - Total,960000,ug/Kg
446,SEAC1S8D_OUT,Cadmium - Solid/Sediment - Total,1330,ug/Kg
447,SEAC1S8D_OUT,Total Phthalate - Water - Total,3.3,ug/L
448,SEAC1S8D_OUT,Total PAH - Solid/Sediment - Total,12654,ug/Kg
449,SEAC1S8D_OUT,Ortho-phosphate - Water - Dissolved,33,ug/L
450,SEAC1S8D_OUT,Bis(2-ethylhexyl) phthalate - Solid/Sediment - Total,NA,ug/Kg
451,SEAC1S8D_OUT,Total Phthalate - Solid/Sediment - Total,11410,ug/Kg
452,SEAC1S8D_OUT,HPAH - Solid/Sediment - Total,10910,ug/Kg
453,SEAC1S8D_OUT,Nitrite-Nitrate - Water - Dissolved,254,ug/L
454,SEAC1S8D_OUT,Total Suspended Solids - Water - Total,57200,ug/L
455,SEAC1S8D_OUT,Pyrene - Solid/Sediment - Total,1800,ug/Kg
456,SEAC1S8D_OUT,Chrysene - Solid/Sediment - Total,1300,ug/Kg
457,SEAC1S8D_OUT,Zinc - Water - Total,145,ug/L
458,SEAC1S8D_OUT,Copper - Water - Dissolved,14.8,ug/L
459,SEAC1S8D_OUT,Phenanthrene - Solid/Sediment - Total,NA,ug/Kg
460,SEAC1S8D_OUT,Copper - Water - Total,45.9,ug/L
461,SEAC1S8D_OUT,Total Phosphorus - Water - Total,260,ug/L
462,SEAC1S8D_OUT,CPAH - Solid/Sediment - Total,4170,ug/Kg
463,SEAC1S8D_OUT,Zinc - Water - Dissolved,45,ug/L
464,SEAC1S8D_OUT,Fluoranthene - Solid/Sediment - Total,2100,ug/Kg
465,SEAC1S8D_OUT,LPAH - Solid/Sediment - Total,1562,ug/Kg
466,SEAC1S8D_OUT,Lead - Water - Total,17,ug/L
467,SEAC1S8D_OUT,Total Kjeldahl Nitrogen - Water - Total,1750,ug/L
468,SEAC1S8D_OUT,Cadmium - Water - Total,0.2,ug/L
469,SEAC1S8D_OUT,Total TPHDx - Water - Total,1300,ug/L
470,SEAC1S8D_OUT,Biochemical Oxygen Demand - Water - Total,11100,ug/L
471,SEAC1S8D_OUT,"Indeno(1,2,3-cd)pyrene - Solid/Sediment - Total",620,ug/Kg
472,SEAC1S8D_OUT,Total PAH - Water - Total,0.57,ug/L
473,SEAC1S8D_OUT,Total Benzofluoranthenes - Solid/Sediment - Total,2000,ug/Kg
474,SEAC1S8D_OUT,Benzo(b)fluoranthene - Solid/Sediment - Total,NA,ug/Kg
475,SEAC1S8D_OUT,Bis(2-ethylhexyl) phthalate - Water - Total,3.3,ug/L
476,SEAC1S8D_OUT,p-Cresol - Solid/Sediment - Total,NA,ug/Kg
477,SEAC1S8D_OUT,Diesel Range Organics - Water - Total,750,ug/L
478,SEAC1S8D_OUT,Magnesium - Water - Total,2080,ug/L
479,SEAC1S8D_OUT,Benzo(a)pyrene - Solid/Sediment - Total,930,ug/Kg
480,SEAC1S8D_OUT,Lead - Water - Dissolved,1,ug/L
481,SEAC1S8D_OUT,Mercury - Solid/Sediment - Total,210,ug/Kg
482,SEAC1S8D_OUT,Benzo(k)fluoranthene - Solid/Sediment - Total,NA,ug/Kg
483,SEAC1S8D_OUT,HPAH - Water - Total,0.35,ug/L
484,SEAC1S8D_OUT,Anthracene - Solid/Sediment - Total,200,ug/Kg
485,SEAC1S8D_OUT,Benz(a)anthracene - Solid/Sediment - Total,800,ug/Kg
486,SEAC1S8D_OUT,"Benzo(g,h,i)perylene - Solid/Sediment - Total",840,ug/Kg
487,SEAC1S8D_OUT,Pyrene - Water - Total,0.16,ug/L
488,SEAC1S8D_OUT,Butyl benzyl phthalate - Solid/Sediment - Total,260,ug/Kg
489,SEAC1S8D_OUT,Cadmium - Water - Dissolved,NA,ug/L
490,SEAC1S8D_OUT,"Dibenzo(a,h)anthracene - Solid/Sediment - Total",340,ug/Kg
491,SEAC1S8D_OUT,LPAH - Water - Total,0.11,ug/L
492,SEAI1S8D_OUT,Lead - Solid/Sediment - Total,84200,ug/Kg
493,SEAI1S8D_OUT,Copper - Solid/Sediment - Total,131000,ug/Kg
494,SEAI1S8D_OUT,Zinc - Solid/Sediment - Total,860000,ug/Kg
495,SEAI1S8D_OUT,Cadmium - Solid/Sediment - Total,1320,ug/Kg
496,SEAI1S8D_OUT,Total Phthalate - Water - Total,1.6,ug/L
497,SEAI1S8D_OUT,Total PAH - Solid/Sediment - Total,8870,ug/Kg
498,SEAI1S8D_OUT,Ortho-phosphate - Water - Dissolved,51,ug/L
499,SEAI1S8D_OUT,Bis(2-ethylhexyl) phthalate - Solid/Sediment - Total,NA,ug/Kg
500,SEAI1S8D_OUT,Total Phthalate - Solid/Sediment - Total,21400,ug/Kg
501,SEAI1S8D_OUT,HPAH - Solid/Sediment - Total,7840,ug/Kg
502,SEAI1S8D_OUT,Nitrite-Nitrate - Water - Dissolved,260,ug/L
503,SEAI1S8D_OUT,Total Suspended Solids - Water - Total,56300,ug/L
504,SEAI1S8D_OUT,Pyrene - Solid/Sediment - Total,1200,ug/Kg
505,SEAI1S8D_OUT,Chrysene - Solid/Sediment - Total,1000,ug/Kg
506,SEAI1S8D_OUT,Zinc - Water - Total,131,ug/L
507,SEAI1S8D_OUT,Copper - Water - Dissolved,5,ug/L
508,SEAI1S8D_OUT,Phenanthrene - Solid/Sediment - Total,610,ug/Kg
509,SEAI1S8D_OUT,Copper - Water - Total,18.2,ug/L
510,SEAI1S8D_OUT,Total Phosphorus - Water - Total,201,ug/L
511,SEAI1S8D_OUT,CPAH - Solid/Sediment - Total,3120,ug/Kg
512,SEAI1S8D_OUT,Zinc - Water - Dissolved,46,ug/L
513,SEAI1S8D_OUT,Fluoranthene - Solid/Sediment - Total,1400,ug/Kg
514,SEAI1S8D_OUT,LPAH - Solid/Sediment - Total,890,ug/Kg
515,SEAI1S8D_OUT,Lead - Water - Total,8,ug/L
516,SEAI1S8D_OUT,Total Kjeldahl Nitrogen - Water - Total,1060,ug/L
517,SEAI1S8D_OUT,Cadmium - Water - Total,0.2,ug/L
518,SEAI1S8D_OUT,Total TPHDx - Water - Total,1400,ug/L
519,SEAI1S8D_OUT,Biochemical Oxygen Demand - Water - Total,5300,ug/L
520,SEAI1S8D_OUT,"Indeno(1,2,3-cd)pyrene - Solid/Sediment - Total",530,ug/Kg
521,SEAI1S8D_OUT,Total PAH - Water - Total,0.27,ug/L
522,SEAI1S8D_OUT,Total Benzofluoranthenes - Solid/Sediment - Total,1400,ug/Kg
523,SEAI1S8D_OUT,Benzo(b)fluoranthene - Solid/Sediment - Total,NA,ug/Kg
524,SEAI1S8D_OUT,Bis(2-ethylhexyl) phthalate - Water - Total,1.5,ug/L
525,SEAI1S8D_OUT,p-Cresol - Solid/Sediment - Total,NA,ug/Kg
526,SEAI1S8D_OUT,Diesel Range Organics - Water - Total,750,ug/L
527,SEAI1S8D_OUT,Magnesium - Water - Total,4100,ug/L
528,SEAI1S8D_OUT,Benzo(a)pyrene - Solid/Sediment - Total,760,ug/Kg
529,SEAI1S8D_OUT,Lead - Water - Dissolved,0.3,ug/L
530,SEAI1S8D_OUT,Mercury - Solid/Sediment - Total,130,ug/Kg
531,SEAI1S8D_OUT,Benzo(k)fluoranthene - Solid/Sediment - Total,NA,ug/Kg
532,SEAI1S8D_OUT,HPAH - Water - Total,0.14,ug/L
533,SEAI1S8D_OUT,Anthracene - Solid/Sediment - Total,130,ug/Kg
534,SEAI1S8D_OUT,Benz(a)anthracene - Solid/Sediment - Total,530,ug/Kg
535,SEAI1S8D_OUT,"Benzo(g,h,i)perylene - Solid/Sediment - Total",720,ug/Kg
536,SEAI1S8D_OUT,Pyrene - Water - Total,0.11,ug/L
537,SEAI1S8D_OUT,Butyl benzyl phthalate - Solid/Sediment - Total,96,ug/Kg
538,SEAI1S8D_OUT,Cadmium - Water - Dissolved,NA,ug/L
539,SEAI1S8D_OUT,"Dibenzo(a,h)anthracene - Solid/Sediment - Total",240,ug/Kg
540,SEAI1S8D_OUT,LPAH - Water - Total,NA,ug/L
541,SEAR1S8D_OUT,Lead - Solid/Sediment - Total,124000,ug/Kg
542,SEAR1S8D_OUT,Copper - Solid/Sediment - Total,57900,ug/Kg
543,SEAR1S8D_OUT,Zinc - Solid/Sediment - Total,236000,ug/Kg
544,SEAR1S8D_OUT,Cadmium - Solid/Sediment - Total,630,ug/Kg
545,SEAR1S8D_OUT,Total Phthalate - Water - Total,1.2,ug/L
546,SEAR1S8D_OUT,Total PAH - Solid/Sediment - Total,7617,ug/Kg
547,SEAR1S8D_OUT,Ortho-phosphate - Water - Dissolved,11,ug/L
548,SEAR1S8D_OUT,Bis(2-ethylhexyl) phthalate - Solid/Sediment - Total,1400,ug/Kg
549,SEAR1S8D_OUT,Total Phthalate - Solid/Sediment - Total,1400,ug/Kg
550,SEAR1S8D_OUT,HPAH - Solid/Sediment - Total,6600,ug/Kg
551,SEAR1S8D_OUT,Nitrite-Nitrate - Water - Dissolved,179,ug/L
552,SEAR1S8D_OUT,Total Suspended Solids - Water - Total,50900,ug/L
553,SEAR1S8D_OUT,Pyrene - Solid/Sediment - Total,1200,ug/Kg
554,SEAR1S8D_OUT,Chrysene - Solid/Sediment - Total,750,ug/Kg
555,SEAR1S8D_OUT,Zinc - Water - Total,49,ug/L
556,SEAR1S8D_OUT,Copper - Water - Dissolved,4.3,ug/L
557,SEAR1S8D_OUT,Phenanthrene - Solid/Sediment - Total,750,ug/Kg
558,SEAR1S8D_OUT,Copper - Water - Total,14.8,ug/L
559,SEAR1S8D_OUT,Total Phosphorus - Water - Total,178,ug/L
560,SEAR1S8D_OUT,CPAH - Solid/Sediment - Total,3420,ug/Kg
561,SEAR1S8D_OUT,Zinc - Water - Dissolved,13,ug/L
562,SEAR1S8D_OUT,Fluoranthene - Solid/Sediment - Total,1500,ug/Kg
563,SEAR1S8D_OUT,LPAH - Solid/Sediment - Total,1017,ug/Kg
564,SEAR1S8D_OUT,Lead - Water - Total,15,ug/L
565,SEAR1S8D_OUT,Total Kjeldahl Nitrogen - Water - Total,1000,ug/L
566,SEAR1S8D_OUT,Cadmium - Water - Total,0.1,ug/L
567,SEAR1S8D_OUT,Total TPHDx - Water - Total,480,ug/L
568,SEAR1S8D_OUT,Biochemical Oxygen Demand - Water - Total,3500,ug/L
569,SEAR1S8D_OUT,"Indeno(1,2,3-cd)pyrene - Solid/Sediment - Total",360,ug/Kg
570,SEAR1S8D_OUT,Total PAH - Water - Total,0.1,ug/L
571,SEAR1S8D_OUT,Total Benzofluoranthenes - Solid/Sediment - Total,1240,ug/Kg
572,SEAR1S8D_OUT,Benzo(b)fluoranthene - Solid/Sediment - Total,NA,ug/Kg
573,SEAR1S8D_OUT,Bis(2-ethylhexyl) phthalate - Water - Total,1.2,ug/L
574,SEAR1S8D_OUT,p-Cresol - Solid/Sediment - Total,NA,ug/Kg
575,SEAR1S8D_OUT,Diesel Range Organics - Water - Total,330,ug/L
576,SEAR1S8D_OUT,Magnesium - Water - Total,1100,ug/L
577,SEAR1S8D_OUT,Benzo(a)pyrene - Solid/Sediment - Total,480,ug/Kg
578,SEAR1S8D_OUT,Lead - Water - Dissolved,0.6,ug/L
579,SEAR1S8D_OUT,Benzo(k)fluoranthene - Solid/Sediment - Total,NA,ug/Kg
580,SEAR1S8D_OUT,HPAH - Water - Total,0.11,ug/L
581,SEAR1S8D_OUT,Anthracene - Solid/Sediment - Total,94,ug/Kg
582,SEAR1S8D_OUT,Benz(a)anthracene - Solid/Sediment - Total,430,ug/Kg
583,SEAR1S8D_OUT,"Benzo(g,h,i)perylene - Solid/Sediment - Total",480,ug/Kg
584,SEAR1S8D_OUT,Pyrene - Water - Total,0.09,ug/L
585,SEAR1S8D_OUT,Butyl benzyl phthalate - Solid/Sediment - Total,NA,ug/Kg
586,SEAR1S8D_OUT,Cadmium - Water - Dissolved,NA,ug/L
587,SEAR1S8D_OUT,"Dibenzo(a,h)anthracene - Solid/Sediment - Total",160,ug/Kg
588,SEAR1S8D_OUT,LPAH - Water - Total,0.06,ug/L
589,SNO_COM,Lead - Solid/Sediment - Total,NA,ug/Kg
590,SNO_COM,Copper - Solid/Sediment - Total,NA,ug/Kg
591,SNO_COM,Zinc - Solid/Sediment - Total,NA,ug/Kg
592,SNO_COM,Cadmium - Solid/Sediment - Total,NA,ug/Kg
593,SNO_COM,Total Phthalate - Water - Total,1.38,ug/L
594,SNO_COM,Total PAH - Solid/Sediment - Total,NA,ug/Kg
595,SNO_COM,Ortho-phosphate - Water - Dissolved,12,ug/L
596,SNO_COM,Bis(2-ethylhexyl) phthalate - Solid/Sediment - Total,NA,ug/Kg
597,SNO_COM,Total Phthalate - Solid/Sediment - Total,NA,ug/Kg
598,SNO_COM,HPAH - Solid/Sediment - Total,NA,ug/Kg
599,SNO_COM,Nitrite-Nitrate - Water - Dissolved,260,ug/L
600,SNO_COM,Total Suspended Solids - Water - Total,31000,ug/L
601,SNO_COM,Pyrene - Solid/Sediment - Total,NA,ug/Kg
602,SNO_COM,Chrysene - Solid/Sediment - Total,NA,ug/Kg
603,SNO_COM,Zinc - Water - Total,90.4,ug/L
604,SNO_COM,Copper - Water - Dissolved,2.9,ug/L
605,SNO_COM,Phenanthrene - Solid/Sediment - Total,NA,ug/Kg
606,SNO_COM,Copper - Water - Total,7.13,ug/L
607,SNO_COM,Total Phosphorus - Water - Total,66,ug/L
608,SNO_COM,CPAH - Solid/Sediment - Total,NA,ug/Kg
609,SNO_COM,Zinc - Water - Dissolved,55,ug/L
610,SNO_COM,Fluoranthene - Solid/Sediment - Total,NA,ug/Kg
611,SNO_COM,LPAH - Solid/Sediment - Total,NA,ug/Kg
612,SNO_COM,Lead - Water - Total,2.48,ug/L
613,SNO_COM,Total Kjeldahl Nitrogen - Water - Total,1000,ug/L
614,SNO_COM,Cadmium - Water - Total,0.07,ug/L
615,SNO_COM,Total TPHDx - Water - Total,2440,ug/L
616,SNO_COM,Biochemical Oxygen Demand - Water - Total,4600,ug/L
617,SNO_COM,"Indeno(1,2,3-cd)pyrene - Solid/Sediment - Total",NA,ug/Kg
618,SNO_COM,Total PAH - Water - Total,1.312,ug/L
619,SNO_COM,Total Benzofluoranthenes - Solid/Sediment - Total,NA,ug/Kg
620,SNO_COM,Benzo(b)fluoranthene - Solid/Sediment - Total,NA,ug/Kg
621,SNO_COM,Bis(2-ethylhexyl) phthalate - Water - Total,1.3,ug/L
622,SNO_COM,Diesel Range Organics - Water - Total,740,ug/L
623,SNO_COM,Magnesium - Water - Total,2100,ug/L
624,SNO_COM,Benzo(a)pyrene - Solid/Sediment - Total,NA,ug/Kg
625,SNO_COM,Lead - Water - Dissolved,0.13,ug/L
626,SNO_COM,Mercury - Solid/Sediment - Total,NA,ug/Kg
627,SNO_COM,Benzo(k)fluoranthene - Solid/Sediment - Total,NA,ug/Kg
628,SNO_COM,HPAH - Water - Total,1.209,ug/L
629,SNO_COM,Anthracene - Solid/Sediment - Total,NA,ug/Kg
630,SNO_COM,Heavy Fuel Oil - Water - Total,1700,ug/L
631,SNO_COM,Pyrene - Water - Total,0.212,ug/L
632,SNO_COM,Butyl benzyl phthalate - Solid/Sediment - Total,NA,ug/Kg
633,SNO_COM,Cadmium - Water - Dissolved,0.033,ug/L
634,SNO_COM,"Dibenzo(a,h)anthracene - Solid/Sediment - Total",NA,ug/Kg
635,SNO_COM,LPAH - Water - Total,NA,ug/L
636,SNO_HDR,Lead - Solid/Sediment - Total,360,ug/Kg
637,SNO_HDR,Copper - Solid/Sediment - Total,1670,ug/Kg
638,SNO_HDR,Zinc - Solid/Sediment - Total,10900,ug/Kg
639,SNO_HDR,Cadmium - Solid/Sediment - Total,30,ug/Kg
640,SNO_HDR,Total Phthalate - Water - Total,0.811,ug/L
641,SNO_HDR,Total PAH - Solid/Sediment - Total,4094,ug/Kg
642,SNO_HDR,Ortho-phosphate - Water - Dissolved,8,ug/L
643,SNO_HDR,Bis(2-ethylhexyl) phthalate - Solid/Sediment - Total,2500,ug/Kg
644,SNO_HDR,Total Phthalate - Solid/Sediment - Total,2880,ug/Kg
645,SNO_HDR,HPAH - Solid/Sediment - Total,3530,ug/Kg
646,SNO_HDR,Nitrite-Nitrate - Water - Dissolved,170,ug/L
647,SNO_HDR,Total Suspended Solids - Water - Total,16000,ug/L
648,SNO_HDR,Pyrene - Solid/Sediment - Total,1180,ug/Kg
649,SNO_HDR,Chrysene - Solid/Sediment - Total,448,ug/Kg
650,SNO_HDR,Zinc - Water - Total,15.8,ug/L
651,SNO_HDR,Copper - Water - Dissolved,2.39,ug/L
652,SNO_HDR,Phenanthrene - Solid/Sediment - Total,455,ug/Kg
653,SNO_HDR,Copper - Water - Total,4.5,ug/L
654,SNO_HDR,Total Phosphorus - Water - Total,38,ug/L
655,SNO_HDR,CPAH - Solid/Sediment - Total,1823,ug/Kg
656,SNO_HDR,Zinc - Water - Dissolved,17.6,ug/L
657,SNO_HDR,Fluoranthene - Solid/Sediment - Total,527,ug/Kg
658,SNO_HDR,LPAH - Solid/Sediment - Total,564,ug/Kg
659,SNO_HDR,Lead - Water - Total,0.52,ug/L
660,SNO_HDR,Total Kjeldahl Nitrogen - Water - Total,605,ug/L
661,SNO_HDR,Cadmium - Water - Total,NA,ug/L
662,SNO_HDR,Total TPHDx - Water - Total,800,ug/L
663,SNO_HDR,Biochemical Oxygen Demand - Water - Total,3300,ug/L
664,SNO_HDR,"Indeno(1,2,3-cd)pyrene - Solid/Sediment - Total",399,ug/Kg
665,SNO_HDR,Total PAH - Water - Total,NA,ug/L
666,SNO_HDR,Total Benzofluoranthenes - Solid/Sediment - Total,403,ug/Kg
667,SNO_HDR,Benzo(b)fluoranthene - Solid/Sediment - Total,240,ug/Kg
668,SNO_HDR,Bis(2-ethylhexyl) phthalate - Water - Total,0.802,ug/L
669,SNO_HDR,Diesel Range Organics - Water - Total,300,ug/L
670,SNO_HDR,Magnesium - Water - Total,290,ug/L
671,SNO_HDR,Benzo(a)pyrene - Solid/Sediment - Total,120,ug/Kg
672,SNO_HDR,Lead - Water - Dissolved,0.06,ug/L
673,SNO_HDR,Benzo(k)fluoranthene - Solid/Sediment - Total,198,ug/Kg
674,SNO_HDR,HPAH - Water - Total,NA,ug/L
675,SNO_HDR,Anthracene - Solid/Sediment - Total,96.8,ug/Kg
676,SNO_HDR,Heavy Fuel Oil - Water - Total,460,ug/L
677,SNO_HDR,Pyrene - Water - Total,NA,ug/L
678,SNO_HDR,Butyl benzyl phthalate - Solid/Sediment - Total,380,ug/Kg
679,SNO_HDR,Cadmium - Water - Dissolved,0.021,ug/L
680,SNO_HDR,"Dibenzo(a,h)anthracene - Solid/Sediment - Total",NA,ug/Kg
681,SNO_HDR,LPAH - Water - Total,NA,ug/L
682,SNO_LDR,Lead - Solid/Sediment - Total,3190,ug/Kg
683,SNO_LDR,Copper - Solid/Sediment - Total,14800,ug/Kg
684,SNO_LDR,Zinc - Solid/Sediment - Total,107000,ug/Kg
685,SNO_LDR,Cadmium - Solid/Sediment - Total,200,ug/Kg
686,SNO_LDR,Total Phthalate - Water - Total,NA,ug/L
687,SNO_LDR,Total PAH - Solid/Sediment - Total,771.4,ug/Kg
688,SNO_LDR,Ortho-phosphate - Water - Dissolved,44,ug/L
689,SNO_LDR,Bis(2-ethylhexyl) phthalate - Solid/Sediment - Total,4400,ug/Kg
690,SNO_LDR,Total Phthalate - Solid/Sediment - Total,5390,ug/Kg
691,SNO_LDR,HPAH - Solid/Sediment - Total,727.9,ug/Kg
692,SNO_LDR,Nitrite-Nitrate - Water - Dissolved,1300,ug/L
693,SNO_LDR,Total Suspended Solids - Water - Total,9000,ug/L
694,SNO_LDR,Pyrene - Solid/Sediment - Total,138,ug/Kg
695,SNO_LDR,Chrysene - Solid/Sediment - Total,125,ug/Kg
696,SNO_LDR,Zinc - Water - Total,31.1,ug/L
697,SNO_LDR,Copper - Water - Dissolved,1.77,ug/L
698,SNO_LDR,Phenanthrene - Solid/Sediment - Total,43.5,ug/Kg
699,SNO_LDR,Copper - Water - Total,3.13,ug/L
700,SNO_LDR,Total Phosphorus - Water - Total,104,ug/L
701,SNO_LDR,CPAH - Solid/Sediment - Total,500.5,ug/Kg
